-1 1:0.780298 2:0.826964 3:0.40621 4:0.372874 5:0.557839 6:0.329422 7:0.363887 8:0.63213
-1 1:0.849997 2:0.854733 3:0.250684 4:0.376079 5:0.626775 6:0.296206 7:0.381718 8:0.646592
-1 1:0.831658 2:0.854733 3:0.273861 4:0.320668 5:0.658108 6:0.283122 7:0.251447 8:0.755608
-1 1:0.791415 2:0.400756 3:0.304745 4:0.394529 5:0.605878 6:0.244301 7:0.327691 8:0.655884
1 1:0.853162 2:0.171555 3:0.248242 4:0.290002 5:0.69108 6:0.375613 7:0.494551 8:0.579374
-1 1:0.871014 2:0.854733 3:0.273861 4:0.209561 5:0.783317 6:0.230687 7:0.245887 8:0.777452
-1 1:0.770296 2:0.191855 3:0.269106 4:0.397366 5:0.804965 6:0.255556 7:0.349023 8:0.71241
-1 1:0.789171 2:0.191855 3:0.283614 4:0.543208 5:0.403742 6:0.366283 7:0.349023 8:0.567783
-1 1:0.86644 2:0.882066 3:0.309978 4:0.282103 5:0.734004 6:0.254314 7:0.302913 8:0.716048
-1 1:0.745351 2:0.109192 3:0.136467 4:0.197994 5:0.866535 6:0.675682 7:0.766457 8:0.360593
-1 1:0.851732 2:0.882066 3:0.309978 4:0.282103 5:0.734004 6:0.366283 7:0.353483 8:0.677109
-1 1:0.780779 2:0.191855 3:0.177434 4:0.205168 5:0.977298 6:0.181503 7:0.349023 8:0.664263
1 1:0.844353 2:0.191855 3:0.337986 4:0.356199 5:0.665339 6:0.218552 7:0.393605 8:0.616054
1 1:0.910139 2:0.908975 3:0.367235 4:0.378847 5:0.686299 6:0.249392 7:0.296974 8:0.677109
-1 1:0.709341 2:0.191855 3:0.658868 4:0.862126 5:0.204688 6:0.181503 7:0.438158 8:0.616054
-1 1:0.842829 2:0.882066 3:0.309978 4:0.254802 5:0.764761 6:0.27281 7:0.353483 8:0.616054
1 1:0.865923 2:0.151015 3:0.262587 4:0.35063 5:0.767254 6:0.338273 7:0.0421098 8:0.823234
1 1:0.864095 2:0.191855 3:0.248242 4:0.247614 5:0.643268 6:0.138133 7:0.339176 8:0.746761
-1 1:0.82761 2:0.908975 3:0.339693 4:0.0796113 5:0.708064 6:0.389603 7:0.353483 8:0.5549
1 1:0.920819 2:0.908975 3:0.322496 4:0.271642 5:0.746821 6:0.319583 7:0.381718 8:0.616054
1 1:0.842522 2:0.191855 3:0.389589 4:0.416849 5:0.547551 6:0.159685 7:0.388361 8:0.691458
-1 1:0.840666 2:0.908975 3:0.40621 4:0.372874 5:0.557839 6:0.342944 7:0.381718 8:0.707597
-1 1:0.778843 2:0.171555 3:0.354287 4:0.374621 5:0.547551 6:0.150835 7:0.449439 8:0.871815
1 1:0.849706 2:0.191855 3:0.354287 4:0.374621 5:0.547551 6:0.168189 7:0.199062 8:0.920333
1 1:0.808551 2:0.109192 3:0.834773 4:0.768969 5:0.139364 6:0.225958 7:0.268704 8:0.677109
